🙀	0	rosto de gato desolado	animal | cat | choque | desolado | face | gato | meu deus | oh | oh! | rosto | rosto de gato desolado | surpresa | surpreso | surprised | weary | weary cat
😿	0	rosto de gato chorando	animal | cat | chorando | choro | cry | crying | crying cat | face | gato | lágrima | rosto | rosto de gato chorando | sad | tear | triste
😾	0	rosto de gato mal-humorado	animal | bico | bravo | cat | face | gato | mal-humorado | pouting | pouting cat | rosto | rosto de gato mal-humorado
🙈	0	macaco que não vê nada	embarrassed | envergonhado | evil | face | forbidden | forgot | gesture | hide | macaco | macaco que não vê nada | monkey | no | não veja o mal | não vi nada | olhos | omg | prohibited | scared | secret | see-no-evil monkey | smh | tapados | vergonha | watch
🙉	0	macaco que não ouve nada	animal | ears | evil | face | forbidden | gesture | hear | hear-no-evil monkey | listen | macaco | macaco que não ouve nada | monkey | no | not | não ouve nada | não ouça o mal | não ouço | não quero ouvir | ouvidos | prohibited | secret | shh | tapados | tmi
🙊	0	macaco que não fala nada	animal | boca tapada | evil | face | forbidden | gesture | macaco | macaco que não fala nada | monkey | no | not | não | não fale nada | não posso contar | não posso falar | oops | prohibited | quiet | secret | segredo | silencio | speak | speak-no-evil monkey | stealth | ups
💌	0	carta de amor	carta | carta de amor | coração | correspondência com coração | heart | letter | love | love letter | mail | romance | valentine
💘	0	coração com flecha	143 | adorbs | amor | arrow | coração | coração com flecha | cupid | cupido | date | emotion | emoção | flecha | flechado | heart | heart with arrow | ily | love | paixão | romance | s2 | valentine
💝	0	coração com fita	143 | amor | aniversário | anniversary | coração | coração com fita | dia dos namorados | emotion | fita | heart | heart with ribbon | ily | kisses | presente | ribbon | s2 | valentine | xoxo
💖	0	coração brilhante	143 | amor | brilhante | coração | coração brilhante | emocionante | emotion | emoção | excited | good | heart | ily | kisses | morning | night | s2 | sparkle | sparkling | sparkling heart | xoxo
💗	0	coração crescendo	143 | amor | animado | batendo | coração | coração crescendo | crescendo | emotion | emoção | excited | growing | growing heart | heart | heartpulse | ily | kisses | muah | nervosismo | nervous | pulse | s2 | xoxo
💓	0	coração pulsante	143 | amor | batendo | beating | beating heart | cardio | coração | coração pulsante | emotion | emoção | heart | heartbeat | ily | love | pulsante | pulsating | pulse | s2
💞	0	corações girando	143 | adorbs | adorável | amor | anniversary | bonitinho | coração | corações | corações girando | emotion | emoção | girando | heart | hearts | revolving | revolving hearts | s2
